epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.7937,1.00908,1.66648,1.05099,0.60709,0.79824,0.72374,0.49212,0.97812,1.09165,0.98031,0.000554645,0.000554645,0.000554645
2,131.476,0.9762,1.20375,1.06399,0.68477,0.87798,0.79018,0.58251,0.85772,0.83127,0.96886,0.00109932,0.00109932,0.00109932
3,190.296,0.93937,1.02369,1.06062,0.63547,0.84203,0.74485,0.52884,0.99913,0.84231,1.01449,0.00163299,0.00163299,0.00163299
4,252.37,0.9207,0.96422,1.05637,0.73664,0.86212,0.82113,0.62254,0.87053,0.73802,0.97924,0.00161749,0.00161749,0.00161749
5,311.036,0.87623,0.89334,1.04207,0.69353,0.83129,0.80072,0.60432,0.8618,0.7793,0.97356,0.00160099,0.00160099,0.00160099
6,369.48,0.851,0.87997,1.02709,0.71208,0.87875,0.79168,0.61748,0.80999,0.73017,0.96103,0.00158448,0.00158448,0.00158448
7,430.916,0.82682,0.84063,1.02072,0.70945,0.86574,0.8002,0.64491,0.70327,0.71089,0.93095,0.00156798,0.00156798,0.00156798
8,489.969,0.81884,0.82977,1.0228,0.71942,0.89141,0.80648,0.64934,0.69236,0.68225,0.92569,0.00155148,0.00155148,0.00155148
9,550.367,0.79758,0.8009,1.01202,0.73427,0.84972,0.80239,0.65565,0.68312,0.73319,0.9251,0.00153497,0.00153497,0.00153497
10,612.661,0.78244,0.78983,1.01127,0.71285,0.87172,0.81136,0.66407,0.70997,0.69552,0.92879,0.00151847,0.00151847,0.00151847
11,674.04,0.75898,0.775,0.99432,0.70371,0.92728,0.81951,0.63565,0.86819,0.6982,0.96987,0.00150197,0.00150197,0.00150197
12,734.01,0.75248,0.76302,0.99413,0.7271,0.87901,0.80979,0.65873,0.7021,0.66338,0.92501,0.00148546,0.00148546,0.00148546
13,798.076,0.75582,0.76356,0.99751,0.70555,0.92704,0.8189,0.65182,0.7943,0.67391,0.94462,0.00146896,0.00146896,0.00146896
14,858.914,0.74363,0.74938,0.99022,0.73609,0.91148,0.83673,0.67774,0.69927,0.66653,0.91162,0.00145246,0.00145246,0.00145246
15,964.41,0.71853,0.72847,0.98198,0.74302,0.8968,0.8358,0.68793,0.68756,0.62979,0.90874,0.00143595,0.00143595,0.00143595
16,1025.65,0.70695,0.72453,0.97382,0.71526,0.90055,0.83202,0.69798,0.66643,0.65927,0.91322,0.00141945,0.00141945,0.00141945
17,1086.29,0.71733,0.73806,0.97977,0.72856,0.91295,0.83121,0.66147,0.78564,0.65831,0.93811,0.00140295,0.00140295,0.00140295
18,1147.14,0.69002,0.69414,0.97009,0.73445,0.88241,0.82387,0.69349,0.63789,0.63222,0.90424,0.00138644,0.00138644,0.00138644
